JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
0.022786869,-0.391168277,0.042016998,-1,2.559267241,-0.97541943,2.566174985,1,-1,-0.659063511,-1
-0.659063511,-0.7234778,0.138866606,-1,2.795152463,-1.072234763,2.868879181,1,-1,0.375674876,0
0.375674876,-0.009765321,0.709464878,1,-5.217227524,-5.925972084,0.332292151,-1,-1,1.061823018,1
1.061823018,-0.038182037,1.119188831,1,-1.217935633,-2.681324574,0.144857557,-1,-1,-0.888727976,-1
-0.888727976,-0.986470949,0.610183094,-1,-2.742696773,-3.051881994,2.01378203,-1,1,0.662414381,1
0.662414381,-0.195176278,1.036154605,1,-4.193671369,-4.497086395,0.006632619,-1,-1,-0.362019396,0
-0.362019396,-0.722531397,0.027843456,-1,-0.996173638,-2.221787855,1.077658786,-1,1,0.975592655,1
0.975592655,-0.2180118,2.428119788,1,-1.148576034,-1.808113157,2.722133036,1,1,0.545742945,1
0.545742945,-0.078420684,0.65781105,1,-1.039269024,-2.205679625,0.148231806,-1,-1,-0.519819073,-1
-0.519819073,-0.839022785,0.088550113,-1,-0.141472731,-1.127608909,1.146378161,1,-1,0.30438506,0
0.30438506,-0.115480703,0.326421617,1,-1.425807838,-2.411689601,0.152871806,-1,-1,0.216920415,0
0.216920415,-0.277153906,0.692042244,1,-0.870953694,-1.656105991,1.117938847,-1,-1,0.325322518,0
0.325322518,-0.219366001,0.655557172,1,-0.219828534,-0.591327201,0.814392537,1,1,0.731806981,1
0.731806981,-0.074962544,0.745494644,1,-0.827863962,-1.122843546,0.301727389,-1,-1,0.080200183,0
0.080200183,-0.299990817,0.1055263,-1,0.225937641,-1.771479185,0.460481618,-1,1,-0.396355682,0
-0.396355682,-0.410819287,0.235286852,-1,-0.518979834,-0.666271839,2.061306762,1,-1,-0.120067988,0
-0.120067988,-0.558177574,0.041138579,-1,2.280821399,-0.221762271,2.436062837,1,-1,0.079814046,0
0.079814046,-0.090742516,0.706109835,1,-1.895320017,-3.582175097,0.081802633,-1,-1,-0.658438753,-1
-0.658438753,-1.046835606,0.473363425,-1,7.147160717,-2.004408321,7.723177103,1,-1,-0.743950573,-1
